index,index,1. open,2. high,3. low,4. close,5. volume
167,2021-11-02 13:01:00,20.065,20.065,20.06,20.06,2300.0
168,2021-11-02 12:59:00,20.08,20.08,20.08,20.08,113.0
169,2021-11-02 12:53:00,20.07,20.07,20.07,20.07,255.0
170,2021-11-02 12:49:00,20.065,20.065,20.065,20.065,500.0
171,2021-11-02 12:48:00,20.065,20.07,20.065,20.065,314.0
172,2021-11-02 12:47:00,20.06,20.07,20.06,20.06,20581.0
173,2021-11-02 12:44:00,20.07,20.07,20.07,20.07,300.0
174,2021-11-02 12:42:00,20.06,20.06,20.0558,20.0558,348.0
175,2021-11-02 12:41:00,20.06,20.06,20.055,20.06,1038.0
176,2021-11-02 12:40:00,20.05,20.05,20.05,20.05,231.0
177,2021-11-02 12:37:00,20.0547,20.0547,20.0547,20.0547,600.0
178,2021-11-02 12:34:00,20.06,20.06,20.06,20.06,210.0
179,2021-11-02 12:31:00,20.06,20.06,20.06,20.06,100.0
180,2021-11-02 12:28:00,20.06,20.06,20.06,20.06,550.0
181,2021-11-02 12:26:00,20.07,20.07,20.07,20.07,2100.0
182,2021-11-02 12:25:00,20.07,20.07,20.07,20.07,150.0
183,2021-11-02 12:24:00,20.0529,20.07,20.0529,20.07,780.0
184,2021-11-02 12:17:00,20.06,20.06,20.06,20.06,100.0
185,2021-11-02 12:16:00,20.06,20.06,20.06,20.06,320.0
186,2021-11-02 12:14:00,20.06,20.06,20.06,20.06,401.0
187,2021-11-02 12:13:00,20.0688,20.0688,20.0688,20.0688,100.0
188,2021-11-02 12:10:00,20.07,20.08,20.06,20.08,18085.0
189,2021-11-02 12:07:00,20.08,20.0837,20.08,20.0837,685.0
190,2021-11-02 12:06:00,20.08,20.08,20.08,20.08,652.0
191,2021-11-02 11:59:00,20.06,20.07,20.06,20.07,1092.0
192,2021-11-02 11:58:00,20.0601,20.07,20.06,20.0621,1020.0
193,2021-11-02 11:48:00,20.1,20.1,20.1,20.1,277.0
194,2021-11-02 11:45:00,20.07,20.07,20.07,20.07,225.0
195,2021-11-02 11:38:00,20.09,20.09,20.09,20.09,5050.0
196,2021-11-02 11:37:00,20.1006,20.105,20.1,20.1,1059.0
197,2021-11-02 11:33:00,20.1007,20.1012,20.1007,20.1012,240.0
198,2021-11-02 11:31:00,20.115,20.115,20.115,20.115,410.0
199,2021-11-02 11:28:00,20.11,20.11,20.11,20.11,100.0
200,2021-11-02 11:25:00,20.119,20.119,20.11,20.11,200.0
201,2021-11-02 11:24:00,20.11,20.11,20.11,20.11,242.0
202,2021-11-02 11:23:00,20.13,20.13,20.11,20.11,1112.0
203,2021-11-02 11:21:00,20.115,20.115,20.115,20.115,150.0
204,2021-11-02 11:20:00,20.115,20.115,20.115,20.115,100.0
205,2021-11-02 11:18:00,20.12,20.12,20.12,20.12,505.0
206,2021-11-02 11:17:00,20.129,20.129,20.129,20.129,300.0
207,2021-11-02 11:16:00,20.12,20.13,20.12,20.13,1332.0
208,2021-11-02 11:15:00,20.1297,20.1297,20.1297,20.1297,334.0
209,2021-11-02 11:05:00,20.09,20.09,20.09,20.09,100.0
210,2021-11-02 11:04:00,20.08,20.08,20.08,20.08,150.0
211,2021-11-02 11:01:00,20.0601,20.0601,20.06,20.06,200.0
